special_token_size	3
token_size	19870
singleton_size	4304
singleton_max_count	1
0	*PAD*	1
1	*UNK*	1
2	*ROOT*	1
3	,	14305
4	.	14010
5	the	12077
6	to	6480
7	of	5866
8	and	5276
9	a	5209
10	in	4205
11	I	3518
12	that	3493
13	's	3161
14	is	2588
15	you	2093
16	it	2145
17	--	1891
18	was	1917
19	for	2011
20	on	1761
21	they	1522
22	have	1501
